"Event - historical H-ID"	"Event - historical Record Title"	"Name of event"	Description	"Start date"	"Start date (temporal)"	"End date"	"End date (temporal)"	Duration	"Place / Location (mappable) H-ID"	"Place Record Title"	"Place / Location (mappable) Record Title"	"Place H-ID"	"Place Record Title"	"Place Record Title"	"Location (mappable)"	"Thumbnail image"	"Thumbnail image ID"	"Thumbnail image Name"	"Thumbnail image Path"
91	"Paix de Nicias (421 BCE)"	"Paix de Nicias"	"Sonne le retour au ""tribut d'Aristide"" qui est plus modéré mais plus sévère qu'en 425"	"421 BCE"	-000421				4	Athènes	Athènes								
92	"Oligarchie à Samos (412 BCE)"	"Oligarchie à Samos"	"Athènes s'affaiblit et réduit son contrôle sur ses alliés"	"412 BCE"	-000412				2	Samos	Samos								
93	"Révolte d'Erythrée (413 BCE)"	"Révolte d'Erythrée"		"413 BCE"	-000413				16	Erythrée	Erythrée								
94	"Bataille d'Aigos Potamos (405 BCE)"	"Bataille d'Aigos Potamos"	"Lourde défaite athénienne qui sonne la fin de la guerre du Péloponnèse"	"405 BCE"	-000405										"POINT(26.5497992 40.2502623)"				
95	"Paix du Roi (386 BCE)"	"Paix du Roi"		"386 BCE"	-000386														
96	"Alliance entre Athènes et Chios (384 BCE)"	"Alliance entre Athènes et Chios"	"Alliance qui pose les bases du modèle de la Seconde Confédération athénienne"	"384 BCE"	-000384				4	Athènes	Athènes	11	Chios	Chios					
97	"Méthymna de Lesbos rentre dans l'alliance athénienne (378 BCE)"	"Méthymna de Lesbos rentre dans l'alliance athénienne"		"378 BCE"	-000378				46	Méthymne	Méthymne								
98	"Bataille de Leuctres (371 BCE)"	"Bataille de Leuctres"	"Btaille qui voit le début de l'hégémonie thébaine qui vainc la puissance spartiate"	"371 BCE"	-000371										"POINT(23.1666328 38.2648544)"				
99	"Début de la ""guerre des Alliés"" (357 BCE)"	"Début de la ""guerre des Alliés"""	"Byzance, Chios et Rhodes se dressent contre Athènes"	"357 BCE"	-000357				4	Athènes	Athènes								
100	"Défaite navale spartiate (394 BCE)"	"Défaite navale spartiate"	"Défaite spartiate au large de Cnide"	"394 BCE"	-000394				39	Cnide	Cnide								
101	"Alliance entre Olynthe et Philippe II (356 BCE)"	"Alliance entre Olynthe et Philippe II"		"356 BCE"	-000356				49	Olynthe	Olynthe								
102	"Olynthe se rapprochent de Athènes (352 BCE)"	"Olynthe se rapprochent de Athènes"		"352 BCE"	-000352				49	Olynthe	Olynthe								
103	"Guerre entre Philippe et Olynthe (351 BCE)"	"Guerre entre Philippe et Olynthe"		"351 BCE"	-000351				49	Olynthe	Olynthe								
104	"Envoie de deux flottes athéniennes à Olynthe et révolte de l'Eubée (349 BCE)"	"Envoie de deux flottes athéniennes à Olynthe et révolte de l'Eubée"		"349 BCE"	-000349				49	Olynthe	Olynthe								
105	"Athènes renouvelle son alliance avec Mythilène (346 BCE)"	"Athènes renouvelle son alliance avec Mythilène"		"346 BCE"	-000346				12	Mytilène	Mytilène								
106	"Pouvoir oligarchique à Mytilène (353 BCE)"	"Pouvoir oligarchique à Mytilène"		"353 BCE"	-000353				12	Mytilène	Mytilène								
107	"Paix de Philocratès (346 BCE)"	"Paix de Philocratès"		"346 BCE"	-000346														
108	"Athènes honore Elaious (340 BCE)"	"Athènes honore Elaious"	"Athènes honore une cité stratégique de Chersonnèse qui fut fidèle"	"340 BCE"	-000340				50	Eléonte	Eléonte								
109	"Loi athénienne sur la circulation monétaire (375 BCE-374 BCE)"	"Loi athénienne sur la circulation monétaire"	"Période où Athènes manque de métal et doit faire rentrer du métal pour fabriquer de la monnaie"	"375 BCE"	-000375	"374 BCE"	-000374		4	Athènes	Athènes								
110	"Bataille de Mantinée (362 BCE)"	"Bataille de Mantinée"	"Victoire thébaine contre les coalisés grecs"	"362 BCE"	-000362										"POINT(22.3997099 37.601505)"				
