"Place H-ID"	"Place Record Title"	"Place name"	"Place type"	Country	"Location (mappable)"	"Locational certainty"	"Short description"	"Type of structure"	"Place role"
43	Samothrace	Samothrace	Administrative	Greece	"POINT(25.5229701 40.4733937)"	"1. High confidence"	"Cité grecque de l'île de Samothrace"	"Government / royal"	Government
44	Mélos	Mélos	Administrative	Greece	"POINT(24.4662162 36.7161531)"	"1. High confidence"	"Cité grecque des Cyclades"	"Government / royal"	Government
45	Sparte	Sparte	Administrative	Greece	"POINT(22.4234637 37.0825836)"	"1. High confidence"	"Cité grecque du Péloponnèse"	"Government / royal"	Government
46	Méthymne	Méthymne	Administrative	Greece	"POINT(26.1738756 39.3679916)"	"1. High confidence"	"Cité grecque de l'île de Lesbos"	"Government / royal"	Government
47	Sardes	Sardes	Administrative	Turkey	"POINT(28.0402733 38.4881598)"	"1. High confidence"	"Cité de Lydie, siège du satrape achéménide"	"Government / royal"	Government
48	Myrina	Myrina	Administrative	Turkey	"POINT(25.2498969 39.9176058)"	"2. Probable location"	"Cité de l'île de Lemnos"	"Government / royal"	Government
49	Olynthe	Olynthe	Administrative	Greece	"POINT(23.3554899 40.2964657)"	"1. High confidence"	"Cité de Chalcidique"	"Government / royal"	Government
50	Eléonte	Eléonte	Administrative	Turkey	"POINT(26.2257498 40.0599159)"	"1. High confidence"	"Cité grecque de Chersonèse"	"Government / royal"	Government
51	Xanthos	Xanthos	Administrative	Turkey	"POINT(29.3181348 36.3565276)"	"1. High confidence"	"Cité grecque de Lycie"	"Government / royal"	Government
52	Ténèdos	Ténèdos	Administrative	Turkey	"POINT(26.022165 39.817407)"	"1. High confidence"	"Cité de Ténèdos en Sproades Thraces"	"Government / royal"	Government
53	Lamia	Lamia	Administrative	Greece	"POINT(22.4332584 38.8999476)"	"1. High confidence"	"Cité de Grèce Centrale"	"Government / royal"	Government
54	Thèbes	Thèbes	Administrative	Greece	"POINT(23.316696 38.3168116)"	"1. High confidence"	"Cité de Béotie"	"Government / royal"	Government
55	Kimolos	Kimolos	Administrative	Greece	"POINT(24.5750946 36.7931517)"	"1. High confidence"	"Cité de l'île du même nom"	"Government / royal"	Government
56	Argos	Argos	Administrative	Greece	"POINT(22.7165986 37.6166841)"	"1. High confidence"	"Cité d'Argolide"	"Government / royal"	Government
57	Egine	Egine	Administrative	Greece	"POINT(23.4333782 37.7498085)"	"1. High confidence"	"Cité du golfe Saronique"	"Government / royal"	Government
58	Olympie	Olympie	Administrative	Greece	"POINT(21.6302531 37.6379513)"	"1. High confidence"	"Cité grecque du Péloponnèse"	Religious	Community
59	Kymè	Kymè	Administrative	Turkey	"POINT(26.9365042 38.7590929)"	"1. High confidence"	"Cité grecque d'Eolide"	"Government / royal"	Government
79	Kedreai	Kedreai	Administrative	Turkey	"POINT(28.2057845 36.8417456)"	"1. High confidence"	"Cité de Carie"	"Government / royal"	Government
124	Parion	Parion	Administrative	Turkey	"POINT(27.0701324 40.4158363)"	"1. High confidence"	"Cité de Mysie"	"Government / royal"	Government
131	Amorgos	Amorgos	Administrative	Greece	"POINT(25.887603 36.8408674)"	"1. High confidence"		"Government / royal"	Government
132	Crannon	Crannon	Administrative	Greece	"POINT(22.3491735 39.5200993)"	"1. High confidence"		"Government / royal"	Government
146	Andros	Andros	Administrative	Greece	"POINT(24.9332691 37.8337094)"	"1. High confidence"	"Île des Cyclades"	"Government / royal"	Government
147	Naxos	Naxos	Geometric	Greece	"POINT(25.3767885 37.1045788)"	"1. High confidence"	"Cité de l'Egée-méridionale"	"Government / royal"	Government
